Year,Track,Weeks,Artist
1955,Cherry Pink And Apple Blossom White,20.0,Perez Prado and His Orchestra
1956,Don't Be Cruel,21.0,Elvis Presley
1957,So Rare,18.0,Jimmy Dorsey
1958,Patricia,15.0,Perez Prado and His Orchestra
1959,Mack The Knife,16.0,Bobby Darin
1960,"The Theme From ""A Summer Place""",12.0,Percy Faith
1961,Tossin' And Turnin',12.0,Bobby Lewis
1962,The Twist,13.0,Chubby Checker
1963,Sugar Shack,10.0,Jimmy Gilmer
1964,"Hello, Dolly!",13.0,Louis Armstrong
1965,I Can't Help Myself,10.0,Four Tops
1966,I'm A Believer,12.0,"Monkees, The"
1967,Daydream Believer,10.0,"Monkees, The"
1968,Hey Jude,14.0,"Beatles, The"
1969,"Sugar, Sugar",12.0,"Archies, The"
1970,Raindrops Keep Fallin' On My Head,13.0,B.J. Thomas
1971,Joy To The World,11.0,Three Dog Night
1972,The First Time Ever I Saw Your Face,11.0,Roberta Flack
1973,Let's Get It On,13.0,Marvin Gaye
1974,The Way We Were,9.0,Barbra Streisand
1975,One Of These Nights,10.0,Eagles
1976,Tonight's The Night (Gonna Be Alright),11.0,Rod Stewart
1977,How Deep Is Your Love,17.0,Bee Gees
1978,Le Freak,15.0,Chic
1979,Hot Stuff,14.0,Donna Summer
1980,Another One Bites The Dust,15.0,Queen
1981,Physical,15.0,Olivia Newton-John
1982,Hurts So Good,16.0,John Cougar
1983,Flashdance...What A Feeling,14.0,Irene Cara
1984,When Doves Cry,11.0,Prince
1985,"Say You, Say Me",9.0,Lionel Richie
1986,That's What Friends Are For,10.0,Dionne & Friends
1987,Faith,9.0,George Michael
1988,Every Rose Has Its Thorn,8.0,Poison
1989,Another Day In Paradise,10.0,Phil Collins
1990,Because I Love You (The Postman Song),10.0,Stevie B
1991,It's So Hard To Say Goodbye To Yesterday,11.0,Boyz II Men
1992,End Of The Road,19.0,Boyz II Men
1993,Whoomp! There It Is,24.0,Tag Team
1994,Another Night,23.0,Real McCoy
1995,Gangsta's Paradise,22.0,Coolio
1996,Un-Break My Heart,25.0,Toni Braxton
1997,How Do I Live,32.0,LeAnn Rimes
1998,Truly Madly Deeply,26.0,Savage Garden
1999,Smooth,30.0,Santana
2000,Everything You Want,19.0,Vertical Horizon
2001,How You Remind Me,23.0,Nickelback
2002,Dilemma,19.0,Nelly
2003,Hey Ya!,17.0,OutKast
2004,Yeah!,24.0,Usher
2005,We Belong Together,23.0,Mariah Carey
2006,How To Save A Life,19.0,"Fray, The"
2007,Apologize,25.0,Timbaland
2008,Low,23.0,Flo Rida
2009,Down,24.0,Jay Sean
2010,Just The Way You Are,22.0,Bruno Mars
2011,Party Rock Anthem,29.0,LMFAO
2012,Somebody That I Used To Know,24.0,Gotye
2013,Royals,23.0,Lorde
2014,All About That Bass,25.0,Meghan Trainor
2015,Uptown Funk!,23.0,Mark Ronson
