Artist,nb
Adele,4
Akon,7
Alicia Keys,6
Avicii,1
Avril Lavigne,5
Barbra Streisand,11
Bastille,1
"Beatles, The",34
Bee Gees,13
Beyonce,11
"Black Eyed Peas, The",10
Blondie,4
Britney Spears,11
Bruno Mars,7
Celine Dion,9
Chris Brown,10
"Coasters, The",6
Colbie Caillat,1
Coldplay,3
Daft Punk,1
Daniel Powter,1
David Guetta,4
Diana Ross and the Supremes,6
Dido,1
Donna Summer,13
Drake,7
Ed Sheeran,2
Ellie Goulding,2
Elton John,26
Elvis Presley,38
Eminem,14
Enrique Iglesias,5
Fergie,5
Flo Rida,10
Foster The People,1
Frank Sinatra,8
Gloria Gaynor,2
Gnarls Barkley,1
Gotye,1
Green Day,2
Imagine Dragons,2
James Blunt,1
Jason Mraz,2
Jay-Z,12
Jennifer Lopez,9
John Legend,1
John Lennon,7
Justin Bieber,5
Justin Timberlake,9
Kanye West,6
Katy Perry,13
LMFAO,2
Lady Gaga,3
Lenny Kravitz,2
Linkin Park,3
Lionel Richie,12
Lorde,2
Lou Bega,1
Louis Armstrong,1
Ludacris,7
"Lumineers, The",1
Macklemore,2
Madonna,38
Mariah Carey,25
Maroon 5,8
Michael Jackson,28
Nelly Furtado,4
Nicki Minaj,3
One Direction,4
OneRepublic,2
Otis Redding,1
Passenger,1
Paul McCartney,13
Pharrell Williams,1
Pink,8
Pink Floyd,1
Pitbull,7
"Police, The",6
Prince,19
Puff Daddy,5
"Pussycat Dolls, The",4
Queen,5
Ray Charles,11
Red Hot Chili Peppers,3
Ricky Martin,2
Rihanna,22
Robin Thicke,1
"Rolling Stones, The",23
Sam Smith,3
Seal,3
Sean Kingston,3
Sean Paul,5
Smash Mouth,1
Snoop Dogg,4
"Spice Girls, The",4
Taylor Swift,17
Timbaland,3
Toto,4
Tracy Chapman,2
Train,3
Usher,15
Village People,2
Whitney Houston,24
